q-код	Артикул	Раздел	Тип	Производитель	Наименование	Название	Коллекция	Размер	Цвет	Артикулы связанных товаров	Вес упаковки	Плиток в упаковке	Метраж упаковки	Единица измерения	Изображение	Интерьеры	Домус	Цена	Описание Товара	Назначение	Тип поверхности	Рисунок	Оформление															
q15869	MM5250	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5250 Авеллино голубой 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	голубой		0,0000	1	0,0000	шт	MM5250.jpg			778,80		Декоративные элементы	глянцевая																	
q15870	MM5251	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5251 Авеллино чёрный 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	черный		0,0000	1	0,0000	шт	MM5251.jpg			778,80		Декоративные элементы	глянцевая																	
q15871	MM5252	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5252 Авеллино белый 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	белый		0,0000	1	0,0000	шт	MM5252.jpg			778,80		Декоративные элементы	глянцевая																	
q15872	MM5253	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5253 Авеллино серый 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	серый		0,0000	1	0,0000	шт	MM5253.jpg			778,80		Декоративные элементы	глянцевая																	
q15873	MM5254	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5254 Авеллино коричневый 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	коричневый		0,0000	1	0,0000	шт	MM5254.jpg			778,80		Декоративные элементы	глянцевая																	
q15874	MM5255	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM5255 Авеллино фисташковый 30.1*30.1 декор	Авеллино	Неаполитанская коллекция	30,1*30,1	фисташковый		0,0000	1	0,0000	шт	MM5255.jpg			778,80		Декоративные элементы	глянцевая																	
q15831	STG/A500/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A500/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A500-17004.jpg			184,08		Декоративные элементы																		
q15832	STG/A501/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A501/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A501-17004.jpg			184,08		Декоративные элементы																		
q15833	STG/A502/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A502/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A502-17004.jpg			184,08		Декоративные элементы																		
q15828	STG/A506/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A506/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A506-17004.jpg			184,08		Декоративные элементы																		
q15829	STG/A507/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A507/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A507-17004.jpg			184,08		Декоративные элементы																		
q15830	STG/A508/17004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A508/17004 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-A508-17004.jpg			184,08		Декоративные элементы																		
q15837	STG/C500/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C500/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C500-17006.jpg			184,08		Декоративные элементы																		
q15838	STG/C501/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C501/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C501-17006.jpg			184,08		Декоративные элементы																		
q15839	STG/C502/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C502/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C502-17006.jpg			184,08		Декоративные элементы																		
q15834	STG/C506/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C506/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C506-17006.jpg			184,08		Декоративные элементы																		
q15835	STG/C507/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C507/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C507-17006.jpg			184,08		Декоративные элементы																		
q15836	STG/C508/17006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C508/17006 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-C508-17006.jpg			184,08		Декоративные элементы																		
q15843	STG/D500/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D500/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D500-17007.jpg			184,08		Декоративные элементы																		
q15844	STG/D501/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D501/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D501-17007.jpg			184,08		Декоративные элементы																		
q15845	STG/D502/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D502/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D502-17007.jpg			184,08		Декоративные элементы																		
q15840	STG/D506/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D506/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D506-17007.jpg			184,08		Декоративные элементы																		
q15841	STG/D507/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D507/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D507-17007.jpg			184,08		Декоративные элементы																		
q15842	STG/D508/17007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D508/17007 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-D508-17007.jpg			184,08		Декоративные элементы																		
q15849	STG/E500/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E500/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E500-17008.jpg			184,08		Декоративные элементы																		
q15850	STG/E501/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E501/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E501-17008.jpg			184,08		Декоративные элементы																		
q15851	STG/E502/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E502/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E502-17008.jpg			184,08		Декоративные элементы																		
q15846	STG/E506/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E506/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E506-17008.jpg			184,08		Декоративные элементы																		
q15847	STG/E507/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E507/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E507-17008.jpg			184,08		Декоративные элементы																		
q15848	STG/E508/17008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E508/17008 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-E508-17008.jpg			184,08		Декоративные элементы																		
q15852	STG/F500/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F500/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F500-17009.jpg			184,08		Декоративные элементы																		
q15853	STG/F501/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F501/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F501-17009.jpg			184,08		Декоративные элементы																		
q15854	STG/F502/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F502/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F502-17009.jpg			184,08		Декоративные элементы																		
q15855	STG/F506/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F506/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F506-17009.jpg			184,08		Декоративные элементы																		
q15856	STG/F507/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F507/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F507-17009.jpg			184,08		Декоративные элементы																		
q15857	STG/F508/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F508/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F508-17009.jpg			184,08		Декоративные элементы																		
q15862	STG/A509/16004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A509/16004 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-A509-16004.jpg			134,52		Декоративные элементы																		
q15859	STG/C509/16006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C509/16006 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-C509-16006.jpg			134,52		Декоративные элементы																		
q15860	STG/D509/16007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D509/16007 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-D509-16007.jpg			134,52		Декоративные элементы																		
